country,district,year,Avg. NVDI Val
Afghanistan,Pul-e-Hesar,1981,971.4837962962963
Afghanistan,Warsaj,1981,782.4057971014493
Afghanistan,Kaldar,1981,609.0
Afghanistan,Nesh,1981,1127.6190476190477
Afghanistan,Surkhe Parsa,1981,957.1436170212766
Afghanistan,Parwan,1981,1143.7863636363636
Afghanistan,Bala Murghab,1981,2107.0781835205994
Afghanistan,Darah Suf-e-Bala,1981,1293.0094202898551
Afghanistan,Burka,1981,1646.5934343434344
Afghanistan,Khwaja Sabzposh,1981,1944.7430555555557
Afghanistan,Sharan,1981,992.0392156862745
Afghanistan,Khost,1981,2230.3954802259886
Afghanistan,Maruf,1981,905.2366946778711
Afghanistan,Garm Ser,1981,910.1030595813204
Afghanistan,Maywand,1981,944.3432721712538
Afghanistan,Guldara,1981,1614.111111111111
Afghanistan,Kalakan,1981,1676.75
Afghanistan,Sholgareh,1981,1789.0645539906104
Afghanistan,Daykundi,1981,1134.7995150587035
Afghanistan,Baghlan,1981,1447.1240009402916
Afghanistan,Baghran,1981,1264.9096045197741
Afghanistan,Rashidan,1981,962.95
Afghanistan,Balkh Ab,1981,1092.9600840336134
Afghanistan,Khwaja Du Koh,1981,1234.5311244979919
Afghanistan,Chal,1981,1691.5069444444443
Afghanistan,Daman,1981,1049.7913978494623
Afghanistan,Garziwan,1981,1468.6362612612613
Afghanistan,Pul-e- khumri,1981,1975.6626984126983
Afghanistan,Dehrawud,1981,1310.9126984126983
Afghanistan,Nadir Shah Kot,1981,1665.423611111111
Afghanistan,Malestan,1981,1016.0992647058823
Afghanistan,Naw Bahar,1981,881.4895833333334
Afghanistan,Naw Zad,1981,996.9521505376345
Afghanistan,Sari Pul,1981,1525.1603221083456
Afghanistan,Bala Buluk,1981,1145.0755208333333
Afghanistan,Maymana,1981,1782.2166666666667
Afghanistan,Fayz Abad,1981,1531.8185185185184
Afghanistan,Khulm,1981,936.7969576719577
Afghanistan,Shiberghan,1981,1853.2693798449613
Afghanistan,Shekh  Ali,1981,998.0540540540541
Afghanistan,Reg(khan Neshin),1981,804.7580845771145
Afghanistan,Jalrez,1981,905.3516260162602
Afghanistan,Koh-e- Safi,1981,1180.9621212121212
Afghanistan,Markaz-e-Behsud,1981,1083.907196969697
Afghanistan,Chah Ab,1981,1838.4038461538462
Afghanistan,Khost(Matun),1981,2164.035714285714
Afghanistan,Aybak,1981,1579.6902777777777
Afghanistan,Yahya Khel,1981,1114.982142857143
Afghanistan,Khanaqa,1981,1374.7063492063492
Afghanistan,Yosuf Khel,1981,935.3015873015873
Afghanistan,Karukh,1981,1541.6666666666667
Afghanistan,Deh Dadi,1981,1863.5555555555557
Afghanistan,Chakhansur,1981,784.0
Afghanistan,kiti,1981,1200.7061403508771
Afghanistan,Jawzjan,1981,1383.1652078774616
Afghanistan,Musa Qaleh,1981,1096.9204545454545
Afghanistan,Mahmud-e- Raqi,1981,1695.6944444444443
Afghanistan,Jaghatu,1981,1095.765
Afghanistan,Wali Muhammad-e- Shahid,1981,1019.2738095238095
Afghanistan,Chisht-e-Sharif,1981,1292.1881443298969
Afghanistan,Saydabad,1981,1049.4961240310076
Afghanistan,Qadis,1981,1611.4589552238806
Afghanistan,Kishindeh,1981,1697.7375886524824
Afghanistan,Mandol,1981,548.5
Afghanistan,Reg,1981,1036.3869636963695
Afghanistan,Dila,1981,954.8073770491803
Afghanistan,Yakawlang,1981,949.2777777777778
Afghanistan,Imam Saheb,1981,2321.9435897435897
Afghanistan,Musa Khel,1981,2435.671568627451
Afghanistan,Ashtarlay,1981,1011.7339743589744
Afghanistan,Chaharikar,1981,2219.9166666666665
Afghanistan,Jawand,1981,1560.0474087161367
Afghanistan,Qaram Qol,1981,1500.6587301587301
Afghanistan,Bamyan,1981,967.7753436426117
Afghanistan,Mir Bacha Kot,1981,1679.5
Afghanistan,Spera,1981,2542.5789473684213
Afghanistan,Miyanshin,1981,1251.4348958333333
Afghanistan,Ab Band,1981,970.3141025641025
Afghanistan,Mingajik,1981,1145.4928571428572
Afghanistan,Nika,1981,2104.4166666666665
Afghanistan,Sarobi,1981,1459.4930555555557
Afghanistan,Dasht-e-Archi,1981,2223.3986486486488
Afghanistan,Zari,1981,1640.6544117647059
Afghanistan,Khuram wa Sarbagh,1981,1529.9616858237548
Afghanistan,Khadir,1981,1046.353825136612
Afghanistan,Obe,1981,1495.3427835051546
Afghanistan,Hesa Awal-e- Kohestan,1981,2613.516666666667
Afghanistan,Andkhoy,1981,1267.5714285714287
Afghanistan,Hilmand,1981,962.9972154963681
Afghanistan,Kandahar,1981,1018.9015408196192
Afghanistan,Bil Cheragh,1981,1573.2026515151515
Afghanistan,Atghar,1981,904.8730158730159
Afghanistan,Farza,1981,1582.3125
Afghanistan,Baraki Barak,1981,1309.4679487179487
Afghanistan,Uruzgan,1981,1291.8361581920904
Afghanistan,Bakwa,1981,955.925
Afghanistan,Ghor,1981,1134.3636991028295
Afghanistan,Khak-e- Jabbar,1981,1111.8297101449275
Afghanistan,Aqcha,1981,1679.5238095238096
Afghanistan,Ab Kamari,1981,1566.2738095238096
Afghanistan,Nawur,1981,948.3532520325203
Afghanistan,Maydan Wardak,1981,1035.2710355987056
Afghanistan,Khan-e-Chahar Bagh,1981,1162.0337837837837
Afghanistan,Hesarak,1981,1548.7307692307693
Afghanistan,Lija Ahmad Khel,1981,2218.328125
Afghanistan,Deh Yak,1981,1019.3833333333333
Afghanistan,Andar,1981,1071.721264367816
Afghanistan,Mehtarlam,1981,1369.2083333333333
Afghanistan,Khas Uruzgan,1981,1186.4209621993127
Afghanistan,Qalat,1981,1086.5940476190476
Afghanistan,Dasht-e-Qala,1981,1933.6944444444443
Afghanistan,Chak,1982,871.609126984127
Afghanistan,Paktya,1982,1583.0703883495146
Afghanistan,Tirin Kot,1982,1302.2624378109454
Afghanistan,Zurmat,1982,1049.6929824561403
Afghanistan,Gosfandi,1982,1691.2727272727273
Afghanistan,Nahr-e- Shahi,1982,1046.0144927536232
Afghanistan,Bagrami,1982,1189.175
Afghanistan,Sayed Karam,1982,1328.7156862745098
Afghanistan,Faryab,1982,1749.965788398693
Afghanistan,Sayd Khel,1982,2991.875
Afghanistan,Firing Wa Gharu,1982,1251.4537037037037
Afghanistan,Ishkamish,1982,1633.4305555555557
Afghanistan,Sayad,1982,1917.9645061728395
Afghanistan,Chamkani,1982,2627.2976190476193
Afghanistan,Lashkar Gah,1982,1154.4895833333333
Afghanistan,Shawak,1982,1650.5208333333333
Afghanistan,Ahmadaba,1982,1207.7916666666667
Afghanistan,Paghman,1982,1082.2222222222222
Afghanistan,Hazar Sumuch,1982,1627.029761904762
Afghanistan,Shirin Tagab,1982,2261.469017094017
Afghanistan,Turwo (Tarwe),1982,892.6833333333333
Afghanistan,Taywarah,1982,979.75058685446
Afghanistan,Syah Gerd,1982,810.3726851851852
Afghanistan,Zana Khan,1982,860.5530303030303
Afghanistan,Surobi,1982,1215.984693877551
Afghanistan,Kajran,1982,1359.5903755868544
Afghanistan,Baghlan-e-jadid,1982,2000.8110561056105
Afghanistan,Mardyan,1982,934.8571428571429
Afghanistan,Ali Khel (Jaji),1982,2013.0096153846155
Afghanistan,Khowst wa Fereng,1982,917.8157894736842
Afghanistan,Gardez,1982,1078.4423076923076
Afghanistan,Jani Khel,1982,996.2222222222222
Afghanistan,Dand wa Patan,1982,2829.8333333333335
Afghanistan,Kohistan,1982,1426.9719101123596
Afghanistan,Mohammad Agha,1982,808.6765873015873
Afghanistan,Shah Joy,1982,989.7205128205128
Afghanistan,Kharwar,1982,925.5989583333334
Afghanistan,Shahristan,1982,940.7997835497836
Afghanistan,Onaba(Anawa),1982,1314.392857142857
Afghanistan,Khan Abad,1982,1952.4450757575758
Afghanistan,Shamal (Shamul),1982,1800.8854166666667
Afghanistan,Hazrat Sultan,1982,1516.077868852459
Afghanistan,Ziruk,1982,2483.0833333333335
Afghanistan,Chahar Kent,1982,1460.6511627906978
Afghanistan,Rostaq,1982,1683.7269230769232
Afghanistan,Shinwari,1982,816.3012820512821
Afghanistan,Farsi,1982,1026.4372294372295
Afghanistan,Maydan Shahr,1982,1060.6166666666666
Afghanistan,Ajrestan,1982,834.5793010752689
Afghanistan,Qarghayi,1982,1299.845238095238
Afghanistan,Chahar Asyab,1982,1115.4907407407406
Afghanistan,Shutul,1982,976.8055555555555
Afghanistan,Balkh,1982,1269.5409462055716
Afghanistan,Tagab,1982,1373.7
Afghanistan,Day Mirdad,1982,900.9328703703703
Afghanistan,Badghis,1982,1816.8298328816622
Afghanistan,Sangin,1982,1113.267543859649
Afghanistan,Saghar,1982,1095.674836601307
Afghanistan,Qala-e-Zal,1982,1072.5862745098038
Afghanistan,Sherzad,1982,1211.4666666666667
Afghanistan,Nangarhar,1982,1359.7027027027027
Afghanistan,Darz Ab,1982,1730.5964912280701
Afghanistan,Khwaja Ghar,1982,1691.3833333333334
Afghanistan,Darah Suf-e- Payin,1982,1490.8541666666667
Afghanistan,Day chopan,1982,1087.4609375
Afghanistan,Waza Khah,1982,878.0223880597015
Afghanistan,Chahar Bolak,1982,1603.9242424242425
Afghanistan,Shahrak,1982,1109.6854043392505
Afghanistan,Kalafgan,1982,1408.1666666666667
Afghanistan,Ali Abad,1982,1895.9479166666667
Afghanistan,Spin Boldak,1982,1016.7554263565892
Afghanistan,Andarab,1982,1195.9298245614036
Afghanistan,Gulestan,1982,1083.625468164794
Afghanistan,Khwaja Umari,1982,817.324074074074
Afghanistan,Shindand,1982,1199.3825757575758
Afghanistan,Taloqan,1982,1699.5679824561403
Afghanistan,Nimroz,1982,829.9308333333333
Afghanistan,Nawa-e-Barak Zaiy,1982,1458.7698412698412
Afghanistan,Shor Tepa,1982,746.1402116402116
Afghanistan,Urgun,1982,1639.6184210526317
Afghanistan,Chemtal,1982,1643.8733333333332
Afghanistan,Waras,1982,846.4700292397661
Afghanistan,Samangan,1982,1344.9780786589297
Afghanistan,Qala-e-Naw,1982,1582.9733333333334
Afghanistan,Gizab,1982,1239.6390845070423
Afghanistan,Salang,1982,920.1111111111111
Afghanistan,Shibar,1982,853.5787037037037
Afghanistan,Chora,1982,1209.4323361823363
Afghanistan,Kunduz,1982,1874.947796934866
Afghanistan,Shah Wali Kot,1982,1050.4139784946237
Afghanistan,Kajaki,1982,1283.857456140351
Afghanistan,Tolak,1982,1057.880503144654
Afghanistan,Mazar-e-Sharif,1982,1776.5
Afghanistan,Gian,1982,1764.2291666666667
Afghanistan,Bazarak,1982,820.0388888888889
Afghanistan,Jabalussaraj,1982,1774.8194444444443
Afghanistan,Panj wayi,1982,1098.878888888889
Afghanistan,Musayi,1982,1387.0833333333333
Afghanistan,Laghman,1982,1355.388888888889
Afghanistan,Dawlat Abad,1982,1680.757619047619
Afghanistan,Pur Chaman,1982,1125.141129032258
