country,district,year,temperature in (K)
Serbia,Jablanicki okrug,1990,284.63846588134766
Serbia,Raski okrug,1990,282.9217809041341
Serbia,Srednjebanatski okrug,1990,285.6331837972005
Serbia,Borski okrug,1990,283.52935791015625
Serbia,Grad Beograd,1990,285.47373453776044
Serbia,Pomoravski okrug,1990,284.3911870320638
Serbia,Severnobanatski okrug,1990,285.3889567057292
Serbia,Kosovskomitrovicki okrug,1990,282.3863932291667
Serbia,Macvanski okrug,1990,285.58392333984375
Serbia,Pirotski okrug,1990,282.60451253255206
Serbia,Kolubarski okrug,1990,286.14195760091144
Serbia,Branicevski okrug,1990,284.51771545410156
Serbia,Sumadijski okrug,1990,285.0501988728841
Serbia,Juznobanatski okrug,1990,285.61637624104816
Serbia,Juznobacki okrug,1990,285.7383867899577
Serbia,Severnobacki okrug,1990,285.3414026896159
Serbia,Pcinjski okrug,1990,282.6368764241536
Serbia,Zlatiborski okrug,1990,283.1012827555339
Serbia,Kosovski okrug,1990,283.9746907552083
Serbia,Toplicki okrug,1990,283.48738861083984
Serbia,Rasinski okrug,1990,284.2897211710612
Serbia,Prizrenski okrug,1990,283.40263239542645
Serbia,Zajecarski,1990,284.1883036295573
Serbia,Sremski,1991,284.115478515625
Serbia,Moravicki okrug,1991,280.2647527058919
Serbia,Nisavski okrug,1991,282.77484130859375
Serbia,Jablanicki okrug,1991,282.9523239135742
Serbia,Raski okrug,1991,281.0605163574219
Serbia,Srednjebanatski okrug,1991,284.12747446695965
Serbia,Borski okrug,1991,282.0584004720052
Serbia,Grad Beograd,1991,283.9079996744792
Serbia,Pomoravski okrug,1991,282.8715286254883
Serbia,Severnobanatski okrug,1991,283.82076263427734
Serbia,Kosovskomitrovicki okrug,1991,280.52614339192706
Serbia,Macvanski okrug,1991,283.6832453409831
Serbia,Pirotski okrug,1991,280.8678487141927
Serbia,Kolubarski okrug,1991,284.35692596435547
Serbia,Branicevski okrug,1991,283.01054128011066
Serbia,Sumadijski okrug,1991,283.3421885172526
Serbia,Juznobanatski okrug,1991,284.1019706726074
Serbia,Juznobacki okrug,1991,284.1076965332031
Serbia,Severnobacki okrug,1991,283.7517827351888
Serbia,Pcinjski okrug,1991,280.80397033691406
Serbia,Zlatiborski okrug,1991,281.1816113789876
Serbia,Kosovski okrug,1991,282.1860580444336
Serbia,Toplicki okrug,1991,281.74169921875
Serbia,Rasinski okrug,1991,282.61671447753906
Serbia,Prizrenski okrug,1991,281.61037317911786
Serbia,Zajecarski,1991,282.608891805013
Serbia,Sremski,1992,285.657283782959
Serbia,Moravicki okrug,1992,281.5373942057292
Serbia,Nisavski okrug,1992,283.89668528238934
Serbia,Jablanicki okrug,1992,284.0340169270833
Serbia,Raski okrug,1992,282.36211649576825
Serbia,Srednjebanatski okrug,1992,285.4610290527344
Serbia,Borski okrug,1992,283.2107340494792
Serbia,Grad Beograd,1992,285.298100789388
Serbia,Pomoravski okrug,1992,284.09534708658856
Serbia,Severnobanatski okrug,1992,285.30721282958984
Serbia,Kosovskomitrovicki okrug,1992,281.7179946899414
